cancel	2	It Isn't the Mane Thing About You.txt	The Washouts.txt	
than—	1	Castle Sweet Castle.txt	
nicely	2	Every Little Thing She Does.txt	The Gift of the Maud Pie.txt	
magni–	1	The Crystal Empire - Part 1.txt	
bushes"	1	The Break Up Break Down.txt	
ridicu—	1	Bloom & Gloom.txt	
salespony	3	Stranger Than Fan Fiction.txt	The Perfect Pear.txt	Castle Sweet Castle.txt	
pretend	5	Uncommon Bond.txt	To Where and Back Again - Part 1.txt	The Mysterious Mare Do Well.txt	Spike at Your Service.txt	Celestial Advice.txt	
guards	2	The Times They Are A Changeling.txt	The Beginning of the End - Part 2.txt	
pick	4	Applejack's "Day" Off.txt	A Friend in Deed.txt	Student Counsel.txt	Apple Family Reunion.txt	
gloomy	2	Winter Wrap Up.txt	Rarity Takes Manehattan.txt	
avant	1	Do Princesses Dream of Magic Sheep?.txt	
energy	11	The Cart Before the Ponies.txt	It Ain't Easy Being Breezies.txt	Winter Wrap Up.txt	Newbie Dash.txt	The Gift of the Maud Pie.txt	Sweet and Elite.txt	Tanks for the Memories.txt	Power Ponies.txt	Uprooted.txt	The Last Problem.txt	To Where and Back Again - Part 1.txt	
blasts	1	To Where and Back Again - Part 2.txt	
pie"	3	Party of One.txt	Every Little Thing She Does.txt	Pinkie Pride.txt	
"	5	Gauntlet of Fire.txt	Newbie Dash.txt	The Crystal Empire - Part 1.txt	The Crystal Empire - Part 2.txt	The Beginning of the End - Part 1.txt	
—name—	1	My Little Pony Equestria Girls: Summertime Shorts.txt	
fraternize	1	The Perfect Pear.txt	
spreading	2	Campfire Tales.txt	Dragonshy.txt	
(	1	Filli Vanilli.txt	
prankster	2	Griffon the Brush Off.txt	The Hearth's Warming Club.txt	
exhales	5	Princess Twilight Sparkle - Part 1.txt	The Cutie Re-Mark - Part 1.txt	The Cutie Re-Mark - Part 2.txt	It Isn't the Mane Thing About You.txt	To Where and Back Again - Part 1.txt	
-	3	Three's A Crowd.txt	Growing Up is Hard to Do.txt	The Last Problem.txt	
b-b-b-but	1	Griffon the Brush Off.txt	
pie'	1	A Friend in Deed.txt	
1	2	Celestial Advice.txt	Rarity Takes Manehattan.txt	
2	5	The Times They Are A Changeling.txt	Twilight Time.txt	The Mysterious Mare Do Well.txt	Celestial Advice.txt	Princess Spike.txt	
3	4	Party of One.txt	Pinkie Pride.txt	Made in Manehattan.txt	Twilight Time.txt	
4	2	Friendship University.txt	Made in Manehattan.txt	
6	2	Princess Twilight Sparkle - Part 1.txt	The Last Problem.txt	
"lemon	1	The Mysterious Mare Do Well.txt	
dismayed	1	It Ain't Easy Being Breezies.txt	
protective	2	MMMystery on the Friendship Express.txt	The Washouts.txt	
amusing	1	Twilight's Kingdom - Part 2.txt	
takin'	1	Applejack's "Day" Off.txt	
impishly	1	The Perfect Pear.txt	
role	4	Twilight's Kingdom - Part 1.txt	Princess Twilight Sparkle - Part 2.txt	Princess Twilight Sparkle - Part 1.txt	The Washouts.txt	
100%	1	Griffon the Brush Off.txt	
fearless	1	The Washouts.txt	
roll	1	Apple Family Reunion.txt	
turn	1	Apple Family Reunion.txt	
muhahahaha	1	A Dog and Pony Show.txt	
narsken	1	It Ain't Easy Being Breezies.txt	
gold	3	My Little Pony Equestria Girls: Summertime Shorts.txt	Griffon the Brush Off.txt	A Dog and Pony Show.txt	
result	1	Made in Manehattan.txt	
gon'	1	The Hooffields and McColts.txt	
golf	1	A Royal Problem.txt	
pies	1	Applejack's "Day" Off.txt	
selfish	1	Growing Up is Hard to Do.txt	
crunching	6	Brotherhooves Social.txt	The Crystal Empire - Part 2.txt	The Cutie Re-Mark - Part 2.txt	Made in Manehattan.txt	The Beginning of the End - Part 2.txt	Spike at Your Service.txt	
flim	3	Friendship University.txt	Twilight's Kingdom - Part 1.txt	The Beginning of the End - Part 1.txt	
after	1	Apple Family Reunion.txt	
mini-sized	1	It Ain't Easy Being Breezies.txt	
flip	2	Common Ground.txt	The Crystal Empire - Part 1.txt	
staircase	1	The Crystal Empire - Part 2.txt	
resume	1	My Little Pony Equestria Girls: Movie Magic.txt	
a	1	Apple Family Reunion.txt	
time"	2	Common Ground.txt	Maud Pie.txt	
b	3	Common Ground.txt	My Little Pony Equestria Girls: Summertime Shorts.txt	Griffon the Brush Off.txt	
d	1	Griffon the Brush Off.txt	
e	1	The Mysterious Mare Do Well.txt	
g	1	Griffon the Brush Off.txt	
i	1	Apple Family Reunion.txt	
k	1	My Little Pony Equestria Girls: Movie Magic.txt	
eating	1	My Little Pony Equestria Girls: Movie Magic.txt	
neighbor	2	Gauntlet of Fire.txt	Made in Manehattan.txt	
m	1	Pinkie Apple Pie.txt	
n	1	Winter Wrap Up.txt	
time'	1	Tanks for the Memories.txt	
o	2	Marks for Effort.txt	The Washouts.txt	
p	2	Secrets and Pies.txt	Pinkie Apple Pie.txt	
q	1	Common Ground.txt	
entering	1	Dragonshy.txt	
inhalation	2	Twilight's Kingdom - Part 1.txt	Simple Ways.txt	
t	2	The Gift of the Maud Pie.txt	Bloom & Gloom.txt	
outdoors	1	Castle Sweet Castle.txt	
u	1	Friendship University.txt	
sunset	1	My Little Pony Equestria Girls: Movie Magic.txt	
w	1	The Last Problem.txt	
information	2	The Crystal Empire - Part 1.txt	The Crystal Empire - Part 2.txt	
straining	3	Maud Pie.txt	Simple Ways.txt	Applejack's "Day" Off.txt	
powered	1	Power Ponies.txt	
shoals	2	The Beginning of the End - Part 1.txt	The Last Problem.txt	
ragin'	1	A Rockhoof and a Hard Place.txt	
a-a-and	2	Stranger Than Fan Fiction.txt	The Hooffields and McColts.txt	
good	1	Apple Family Reunion.txt	
ooh-hoo	1	Princess Twilight Sparkle - Part 2.txt	
faithful	4	Griffon the Brush Off.txt	Feeling Pinkie Keen.txt	Spike at Your Service.txt	Princess Spike.txt	
goof	2	Pinkie Pride.txt	Brotherhooves Social.txt	
empty	2	Castle Sweet Castle.txt	Applejack's "Day" Off.txt	
skeleton	1	The Break Up Break Down.txt	
gong	1	MMMystery on the Friendship Express.txt	
pigs	1	Applejack's "Day" Off.txt	
suffered	2	Do Princesses Dream of Magic Sheep?.txt	The Hooffields and McColts.txt	
besides	12	Molt Down.txt	Growing Up is Hard to Do.txt	Surf and or Turf.txt	Once Upon a Zeppelin.txt	Boast Busters.txt	The Times They Are A Changeling.txt	It Isn't the Mane Thing About You.txt	Uncommon Bond.txt	Dragon Dropped.txt	Maud Pie.txt	Simple Ways.txt	Student Counsel.txt	
