Grannies Gone Wild.txt	8
MMMystery on the Friendship Express.txt	2
Crusaders of the Lost Mark.txt	5
The Show Stoppers.txt	1
Party of One.txt	1
Dungeons & Discords.txt	6
Trade Ya!.txt	4
Secrets and Pies.txt	7
The Ticket Master.txt	1
Campfire Tales.txt	7
The Super Speedy Cider Squeezy 6000.txt	2
Newbie Dash.txt	6
The Hooffields and McColts.txt	5
Flight to the Finish.txt	4
To Change a Changeling.txt	7
School Raze - Part 2.txt	8
A Horse Shoe-In.txt	9
Griffon the Brush Off.txt	1
Power Ponies.txt	4
Suited For Success.txt	1
Putting Your Hoof Down.txt	2
Rainbow Falls.txt	4
The Cutie Re-Mark - Part 1.txt	5
The Mean 6.txt	8
Sounds of Silence.txt	8
May the Best Pet Win!.txt	2
The Hearth's Warming Club.txt	8
A Matter of Principals.txt	8
Ponyville Confidential.txt	2
Sonic Rainboom.txt	1
It Isn't the Mane Thing About You.txt	7
The Last Problem.txt	9
Over a Barrel.txt	1
Friendship is Magic, part 1.txt	1
Between Dark and Dawn.txt	9
Swarm of the Century.txt	1
The Fault in Our Cutie Marks.txt	6
Amending Fences.txt	5
Shadow Play - Part 1.txt	7
Sweet and Smoky.txt	9
Princess Spike.txt	5
Applebuck Season.txt	1
She Talks to Angel.txt	9
A Friend in Deed.txt	2
Student Counsel.txt	9
Apple Family Reunion.txt	3
Buckball Season.txt	6
Fall Weather Friends.txt	1
Road to Friendship.txt	8
Sleepless in Ponyville.txt	3
Inspiration Manifestation.txt	4
Twilight's Kingdom - Part 2.txt	4
Honest Apple.txt	7
Friendship University.txt	8
Top Bolt.txt	6
Every Little Thing She Does.txt	6
It Ain't Easy Being Breezies.txt	4
The Mane Attraction.txt	5
Common Ground.txt	9
Just for Sidekicks.txt	3
For Whom the Sweetie Belle Toils.txt	4
The End in Friend.txt	8
Dragonshy.txt	1
A Health of Information.txt	7
Rock Solid Friendship.txt	7
Canterlot Boutique.txt	5
Fluttershy Leans In.txt	7
Sweet and Elite.txt	2
Luna Eclipsed.txt	2
Pinkie Apple Pie.txt	4
Scare Master.txt	5
Read It and Weep.txt	2
The Last Roundup.txt	2
Bats!.txt	4
Make New Friends but Keep Discord.txt	5
Tanks for the Memories.txt	5
2, 4, 6, Greaaat.txt	9
Princess Twilight Sparkle - Part 2.txt	4
Testing Testing 1, 2, 3.txt	4
School Raze - Part 1.txt	8
Appleoosa's Most Wanted.txt	5
Look Before You Sleep.txt	1
Princess Twilight Sparkle - Part 1.txt	4
A Trivial Pursuit.txt	9
Daring Doubt.txt	9
Equestria Games.txt	4
The Ending of the End - Part 1.txt	9
Three's A Crowd.txt	4
Marks and Recreation.txt	7
Brotherhooves Social.txt	5
Spice Up Your Life.txt	6
Once Upon a Zeppelin.txt	7
The Crystal Empire - Part 2.txt	3
The Last Crusade.txt	9
The Beginning of the End - Part 2.txt	9
Simple Ways.txt	4
Leap of Faith.txt	4
The Mysterious Mare Do Well.txt	2
Stare Master.txt	1
Rarity Investigates!.txt	5
The Summer Sun Setback.txt	9
The Crystalling - Part 2.txt	6
28 Pranks Later.txt	6
Owl's Well That Ends Well.txt	1
The Break Up Break Down.txt	8
The Cart Before the Ponies.txt	6
Magical Mystery Cure.txt	3
Sparkle's Seven.txt	9
Too Many Pinkie Pies.txt	3
The Crystalling - Part 1.txt	6
Hearth's Warming Eve.txt	2
The Lost Treasure of Griffonstone.txt	5
Pinkie Pride.txt	4
The One Where Pinkie Pie Knows.txt	5
She's All Yak.txt	9
Twilight's Kingdom - Part 1.txt	4
Winter Wrap Up.txt	1
The Gift of the Maud Pie.txt	6
Slice of Life.txt	5
Baby Cakes.txt	2
The Cutie Map - Part 1.txt	5
Party Pooped.txt	5
Going to Seed.txt	9
Triple Threat.txt	7
The Big Mac Question.txt	9
The Crystal Empire - Part 1.txt	3
Molt Down.txt	8
Hard to Say Anything.txt	7
On Your Marks.txt	6
Flutter Brutter.txt	6
The Last Laugh.txt	9
Growing Up is Hard to Do.txt	9
A Hearth's Warming Tail.txt	6
Surf and or Turf.txt	8
What About Discord?.txt	5
Daring Don't.txt	4
A Dog and Pony Show.txt	1
The Beginning of the End - Part 1.txt	9
The Times They Are A Changeling.txt	6
A Royal Problem.txt	7
Uncommon Bond.txt	7
Twilight Time.txt	4
Secret of My Excess.txt	2
Dragon Dropped.txt	9
The Maud Couple.txt	8
To Where and Back Again - Part 1.txt	6
Maud Pie.txt	4
Dragon Quest.txt	2
Daring Done?.txt	7
The Ending of the End - Part 2.txt	9
Fake It 'Til You Make It.txt	8
Lesson Zero.txt	2
Spike at Your Service.txt	3
Sisterhooves Social.txt	2
Celestial Advice.txt	7
One Bad Apple.txt	3
The Point of No Return.txt	9
Hearthbreakers.txt	5
Hurricane Fluttershy.txt	2
Castle Sweet Castle.txt	5
School Daze - Part 2.txt	8
Father Knows Beast.txt	8
Call of the Cutie.txt	1
Applejack's "Day" Off.txt	6
Filli Vanilli.txt	4
Wonderbolts Academy.txt	3
A Rockhoof and a Hard Place.txt	8
The Cutie Mark Chronicles.txt	1
Somepony to Watch Over Me.txt	4
Keep Calm and Flutter On.txt	3
Bridle Gossip.txt	1
Horse Play.txt	8
What Lies Beneath.txt	8
Where the Apple Lies.txt	6
All Bottled Up.txt	7
The Return of Harmony Part 1.txt	2
Do Princesses Dream of Magic Sheep?.txt	5
Gauntlet of Fire.txt	6
Stranger Than Fan Fiction.txt	6
It's About Time.txt	2
Green Isn't Your Color.txt	1
Discordant Harmony.txt	7
To Where and Back Again - Part 2.txt	6
P.P.O.V. (Pony Point of View).txt	6
Uprooted.txt	9
Parental Glideance.txt	7
A Canterlot Wedding - Part 1.txt	2
The Best Night Ever.txt	1
Forever Filly.txt	7
Bloom & Gloom.txt	5
A Flurry of Emotions.txt	7
The Cutie Map - Part 2.txt	5
Feeling Pinkie Keen.txt	1
Hearts and Hooves Day.txt	2
Shadow Play - Part 2.txt	7
A Canterlot Wedding - Part 2.txt	2
Not Asking for Trouble.txt	7
Magic Duel.txt	3
Friendship is Magic, part 2.txt	1
Castle Mane-ia.txt	4
Boast Busters.txt	1
The Cutie Re-Mark - Part 2.txt	5
Yakity-Sax.txt	8
Made in Manehattan.txt	5
Fame and Misfortune.txt	7
Marks for Effort.txt	8
Viva Las Pegasus.txt	6
The Return of Harmony Part 2.txt	2
Family Appreciation Day.txt	2
School Daze - Part 1.txt	8
Non-Compete Clause.txt	8
The Perfect Pear.txt	7
Rarity Takes Manehattan.txt	4
The Cutie Pox.txt	2
The Parent Map.txt	8
The Saddle Row Review.txt	6
Frenemies.txt	9
The Washouts.txt	8
Games Ponies Play.txt	3
A Bird in the Hoof.txt	1
No Second Prances.txt	6
